First Name,Last Name,Country,Car Brand,Car Model,Car Color,Year of Manufacture,Credit Card Type,Fuel Type
Yetty,###,Indonesia,Ford,Club Wagon,Teal,1993,mastercard,Diesel
Crystal,Bosworth,China,Cadillac,Escalade ESV,Fuscia,2007,mastercard,Petrol
Monro,Houdhury,Indonesia,Mazda,Miata MX-5,Orange,2009,maestro,Petrol
Bowie,Clair,China,Audi,A4,Orange,2005,instapayment,Petrol
Myrvyn,McAllister,###,Nissan,Maxima,Pink,1994,maestro,Diesel
Jarid,Son,Philippines,Bentley,Continental Flying Spur,Fuscia,2006,americanexpress,Petrol
Griffin,Letham,###,Lamborghini,Gallardo,Violet,2004,bankcard,Petrol
Kristin,Hubbock,Ethiopia,Suzuki,Daewoo Lacetti,Violet,2007,china-unionpay,Petrol
Nannie,Rainsdon,Canada,Pontiac,Grand Am,Khaki,1996,switch,Diesel
Eloisa,Thick,Armenia,Pontiac,Trans Sport,Violet,1994,jcb,Diesel
Harley,Birdwhistle,Philippines,Mitsubishi,Expo LRV,Pink,1996,jcb,Diesel
Yardley,Anniwell,Indonesia,Dodge,Spirit,Indigo,1994,jcb,Diesel
Artemis,Wrenn,United States,Hyundai,Elantra,Red,2000,maestro,Diesel
Jenica,Hambric,Portugal,Chevrolet,###,Goldenrod,2008,jcb,Petrol
Heath,Biagi,Pakistan,Chevrolet,Corvette,Maroon,1999,jcb,Diesel
Cymbre,Fulkes,Ukraine,Suzuki,SX4,Orange,2012,jcb,Petrol
Trueman,Whodcoat,Colombia,Mercedes-Benz,CLK-Class,Maroon,###,visa-electron,Petrol
Linn,###,Finland,Hyundai,Veracruz,Pink,2010,jcb,Petrol
Karilynn,Paradin,Poland,Mitsubishi,3000GT,Khaki,1998,americanexpress,Diesel
Franky,Hemerijk,France,Chevrolet,3500,Red,1996,mastercard,Diesel
Leshia,Ruhben,Colombia,Pontiac,Sunfire,Maroon,1996,mastercard,Diesel
